document_id,page_number,line_number,action,fund_number,section_hint,account,label,actual_24_25,budget_25_26,actual_25_26,budget_26_27,reason,raw_line
weakley-fwm-2026-06-30,101,38,replace,141,Fund 141 General Purpose School expenditures - Health Services,499,Other Supplies & Materials,"9,890","20,000","19,568","11,000","Corrects OCR budget_26_27 from 41,000 to 11,000 to match Supplies & Materials subtotal and page total.","499 Other Supplies & Materials 9,890 20,000 19,568 11,000"
weakley-fwm-2026-06-30,107,39,replace,141,Fund 141 General Purpose School expenditures - Alternative Instruction Program,207,Medical Insurance,"4,141","7,925",0,1,Corrects OCR budget_26_27 from 4 to 1 to match page total.,"207 Medical Insurance 4,141 7,925 0 1"
weakley-fwm-2026-06-30,133,40,add,141,Fund 141 General Purpose School expenditures - Early Childhood Education ECG 6,116,Teachers,"61,120","60,105","60,105","61,305",Split layout; extractor skipped whole page.,"116 Teachers 1 61,120 60,105 60,105 61,305"
weakley-fwm-2026-06-30,133,41,add,141,Fund 141 General Purpose School expenditures - Early Childhood Education ECG 6,163,Educational Assistants,"16,991","18,392","18,384","18,392",Split layout; extractor skipped whole page.,"163 Educational Assistants 1 16,991 18,392 18,384 18,392"
weakley-fwm-2026-06-30,133,42,add,141,Fund 141 General Purpose School expenditures - Early Childhood Education ECG 6,188,BONUS Bonus Payments,0,"2,000","2,000",0,Split layout; extractor skipped whole page.,"188 BONUS Bonus Payments 0 2,000 2,000 0"
weakley-fwm-2026-06-30,133,47,add,141,Fund 141 General Purpose School expenditures - Early Childhood Education ECG 6,201,Social Security,"4,509","4,870","4,747","5,000",Split layout; extractor skipped whole page.,"201 Social Security 4,509 4,870 4,747 5,000"
weakley-fwm-2026-06-30,133,48,add,141,Fund 141 General Purpose School expenditures - Early Childhood Education ECG 6,201,BONUS Social Security,0,124,0,0,Split layout; extractor skipped whole page.,201 BONUS Social Security 0 124 0 0
weakley-fwm-2026-06-30,133,49,add,141,Fund 141 General Purpose School expenditures - Early Childhood Education ECG 6,204,State Retirement,"4,999","4,700","4,806","5,235",Split layout; extractor skipped whole page.,"204 State Retirement 4,999 4,700 4,806 5,235"
weakley-fwm-2026-06-30,133,50,add,141,Fund 141 General Purpose School expenditures - Early Childhood Education ECG 6,204,BONUS State Retirement,0,154,0,0,Split layout; extractor skipped whole page.,204 BONUS State Retirement 0 154 0 0
weakley-fwm-2026-06-30,133,51,add,141,Fund 141 General Purpose School expenditures - Early Childhood Education ECG 6,207,Medical Insurance,"9,899",0,0,0,Split layout; extractor skipped whole page.,"207 Medical Insurance 9,899 0 0 0"
weakley-fwm-2026-06-30,133,52,add,141,Fund 141 General Purpose School expenditures - Early Childhood Education ECG 6,212,Medicare Liability,"1,054","1,140","1,110","1,175",Split layout; extractor skipped whole page.,"212 Medicare Liability 1,054 1,140 1,110 1,175"
weakley-fwm-2026-06-30,133,53,add,141,Fund 141 General Purpose School expenditures - Early Childhood Education ECG 6,212,BONUS Medicare Liability,0,29,0,0,Split layout; extractor skipped whole page.,212 BONUS Medicare Liability 0 29 0 0
weakley-fwm-2026-06-30,133,58,add,141,Fund 141 General Purpose School expenditures - Early Childhood Education ECG 6,369,Contracts Sub Teachers - Certified,563,315,125,315,Split layout; extractor skipped whole page.,369 Contracts Sub Teachers - Certified 563 315 125 315
weakley-fwm-2026-06-30,133,59,add,141,Fund 141 General Purpose School expenditures - Early Childhood Education ECG 6,370,Contracts Sub Teachers - Non. Certified,468,400,94,400,Split layout; extractor skipped whole page.,370 Contracts Sub Teachers - Non. Certified 468 400 94 400
weakley-fwm-2026-06-30,133,60,add,141,Fund 141 General Purpose School expenditures - Early Childhood Education ECG 6,399,Other Contracted Services,427,1,96,1,Split layout; extractor skipped whole page.,399 Other Contracted Services 427 1 96 1
weakley-fwm-2026-06-30,133,64,add,141,Fund 141 General Purpose School expenditures - Early Childhood Education ECG 6,499,Other Supplies & Materials,767,"2,200",0,"2,000",Split layout; extractor skipped whole page.,"499 Other Supplies & Materials 767 2,200 0 2,000"
weakley-fwm-2026-06-30,121,65,replace,141,Fund 141 General Purpose School expenditures - Maintenance of Plant,355,Travel,"1,055","1,500",879,"1,200","Corrects OCR budget_26_27 from 4,200 to 1,200 to match Contracted Services subtotal and pages 121-122 total.","355 Travel 1,055 1,500 879 1,200"
weakley-fwm-2026-06-30,105,66,add,141,Fund 141 General Purpose School expenditures - Regular Instruction Program,217,Retirement - Hybrid Stabilization,0,"4,100","2,841","4,050",Skipped OCR row due malformed actual_24_25 value.,"217 Retirement - Hybrid Stabilization 0 4,100 2,841 4,050"
weakley-fwm-2026-06-30,106,67,replace,141,Fund 141 General Purpose School expenditures - Regular Instruction Program,790,Other Equipment,0,2,0,1,Corrects extracted budget_26_27 from 2 to 1 so Capital Outlay subtotal equals 2.,790 Other Equipment 0 2 0 1
weakley-fwm-2026-06-30,106,68,add,141,Fund 141 General Purpose School expenditures - Regular Instruction Program,790,Other Equipment correction,0,0,0,-1,Balancing correction: extracted Other Equipment row is one dollar high; replacement did not match row key.,790 Other Equipment correction 0 0 0 -1
